Date Key,Full Date,Year,Quarter,Quarter Name,Month,Month Name,Month Short,Month-Year,Day,Day of Week,Is Weekend
20220101,2022-01-01,2022,1,Q1,1,January,Jan,Jan 2022,1,Saturday,1
20220102,2022-01-02,2022,1,Q1,1,January,Jan,Jan 2022,2,Sunday,1
20220103,2022-01-03,2022,1,Q1,1,January,Jan,Jan 2022,3,Monday,0
20220104,2022-01-04,2022,1,Q1,1,January,Jan,Jan 2022,4,Tuesday,0
20220105,2022-01-05,2022,1,Q1,1,January,Jan,Jan 2022,5,Wednesday,0
20220106,2022-01-06,2022,1,Q1,1,January,Jan,Jan 2022,6,Thursday,0
20220107,2022-01-07,2022,1,Q1,1,January,Jan,Jan 2022,7,Friday,0
20220108,2022-01-08,2022,1,Q1,1,January,Jan,Jan 2022,8,Saturday,1
20220109,2022-01-09,2022,1,Q1,1,January,Jan,Jan 2022,9,Sunday,1
20220110,2022-01-10,2022,1,Q1,1,January,Jan,Jan 2022,10,Monday,0
20220111,2022-01-11,2022,1,Q1,1,January,Jan,Jan 2022,11,Tuesday,0
20220112,2022-01-12,2022,1,Q1,1,January,Jan,Jan 2022,12,Wednesday,0
20220113,2022-01-13,2022,1,Q1,1,January,Jan,Jan 2022,13,Thursday,0
20220114,2022-01-14,2022,1,Q1,1,January,Jan,Jan 2022,14,Friday,0
20220115,2022-01-15,2022,1,Q1,1,January,Jan,Jan 2022,15,Saturday,1
20220116,2022-01-16,2022,1,Q1,1,January,Jan,Jan 2022,16,Sunday,1
20220117,2022-01-17,2022,1,Q1,1,January,Jan,Jan 2022,17,Monday,0
20220118,2022-01-18,2022,1,Q1,1,January,Jan,Jan 2022,18,Tuesday,0
20220119,2022-01-19,2022,1,Q1,1,January,Jan,Jan 2022,19,Wednesday,0
20220120,2022-01-20,2022,1,Q1,1,January,Jan,Jan 2022,20,Thursday,0
20220121,2022-01-21,2022,1,Q1,1,January,Jan,Jan 2022,21,Friday,0
20220122,2022-01-22,2022,1,Q1,1,January,Jan,Jan 2022,22,Saturday,1
20220123,2022-01-23,2022,1,Q1,1,January,Jan,Jan 2022,23,Sunday,1
20220124,2022-01-24,2022,1,Q1,1,January,Jan,Jan 2022,24,Monday,0
20220125,2022-01-25,2022,1,Q1,1,January,Jan,Jan 2022,25,Tuesday,0
20220126,2022-01-26,2022,1,Q1,1,January,Jan,Jan 2022,26,Wednesday,0
20220127,2022-01-27,2022,1,Q1,1,January,Jan,Jan 2022,27,Thursday,0
20220128,2022-01-28,2022,1,Q1,1,January,Jan,Jan 2022,28,Friday,0
20220129,2022-01-29,2022,1,Q1,1,January,Jan,Jan 2022,29,Saturday,1
20220130,2022-01-30,2022,1,Q1,1,January,Jan,Jan 2022,30,Sunday,1
20220131,2022-01-31,2022,1,Q1,1,January,Jan,Jan 2022,31,Monday,0
20220201,2022-02-01,2022,1,Q1,2,February,Feb,Feb 2022,1,Tuesday,0
20220202,2022-02-02,2022,1,Q1,2,February,Feb,Feb 2022,2,Wednesday,0
20220203,2022-02-03,2022,1,Q1,2,February,Feb,Feb 2022,3,Thursday,0
20220204,2022-02-04,2022,1,Q1,2,February,Feb,Feb 2022,4,Friday,0
20220205,2022-02-05,2022,1,Q1,2,February,Feb,Feb 2022,5,Saturday,1
20220206,2022-02-06,2022,1,Q1,2,February,Feb,Feb 2022,6,Sunday,1
20220207,2022-02-07,2022,1,Q1,2,February,Feb,Feb 2022,7,Monday,0
20220208,2022-02-08,2022,1,Q1,2,February,Feb,Feb 2022,8,Tuesday,0
20220209,2022-02-09,2022,1,Q1,2,February,Feb,Feb 2022,9,Wednesday,0
20220210,2022-02-10,2022,1,Q1,2,February,Feb,Feb 2022,10,Thursday,0
20220211,2022-02-11,2022,1,Q1,2,February,Feb,Feb 2022,11,Friday,0
20220212,2022-02-12,2022,1,Q1,2,February,Feb,Feb 2022,12,Saturday,1
20220213,2022-02-13,2022,1,Q1,2,February,Feb,Feb 2022,13,Sunday,1
20220214,2022-02-14,2022,1,Q1,2,February,Feb,Feb 2022,14,Monday,0
20220215,2022-02-15,2022,1,Q1,2,February,Feb,Feb 2022,15,Tuesday,0
20220216,2022-02-16,2022,1,Q1,2,February,Feb,Feb 2022,16,Wednesday,0
20220217,2022-02-17,2022,1,Q1,2,February,Feb,Feb 2022,17,Thursday,0
20220218,2022-02-18,2022,1,Q1,2,February,Feb,Feb 2022,18,Friday,0
20220219,2022-02-19,2022,1,Q1,2,February,Feb,Feb 2022,19,Saturday,1
20220220,2022-02-20,2022,1,Q1,2,February,Feb,Feb 2022,20,Sunday,1
20220221,2022-02-21,2022,1,Q1,2,February,Feb,Feb 2022,21,Monday,0
20220222,2022-02-22,2022,1,Q1,2,February,Feb,Feb 2022,22,Tuesday,0
20220223,2022-02-23,2022,1,Q1,2,February,Feb,Feb 2022,23,Wednesday,0
20220224,2022-02-24,2022,1,Q1,2,February,Feb,Feb 2022,24,Thursday,0
20220225,2022-02-25,2022,1,Q1,2,February,Feb,Feb 2022,25,Friday,0
20220226,2022-02-26,2022,1,Q1,2,February,Feb,Feb 2022,26,Saturday,1
20220227,2022-02-27,2022,1,Q1,2,February,Feb,Feb 2022,27,Sunday,1
20220228,2022-02-28,2022,1,Q1,2,February,Feb,Feb 2022,28,Monday,0
20220301,2022-03-01,2022,1,Q1,3,March,Mar,Mar 2022,1,Tuesday,0
20220302,2022-03-02,2022,1,Q1,3,March,Mar,Mar 2022,2,Wednesday,0
20220303,2022-03-03,2022,1,Q1,3,March,Mar,Mar 2022,3,Thursday,0
20220304,2022-03-04,2022,1,Q1,3,March,Mar,Mar 2022,4,Friday,0
20220305,2022-03-05,2022,1,Q1,3,March,Mar,Mar 2022,5,Saturday,1
