Order ID,Order Date,Ship Date,Customer ID,Product ID,Geography Key,Sales,Quantity,Discount,Profit,Shipping Days,Is Returned,Order Date Key,Ship Date Key
ORD-2022-14302,2022-01-31,2022-02-04,CUST-0816,PROD-0053,GEO-0001,36.0,3,0.0,12.43,4,0,20220131,20220204
ORD-2022-13696,2022-02-14,2022-02-17,CUST-0686,PROD-0007,GEO-0002,949.05,1,0.05,365.76,3,0,20220214,20220217
ORD-2022-10934,2022-02-23,2022-02-25,CUST-0170,PROD-0058,GEO-0003,29.0,1,0.0,11.84,2,0,20220223,20220225
ORD-2022-11698,2022-03-16,2022-03-18,CUST-0320,PROD-0054,GEO-0004,1196.0,4,0.0,617.62,2,0,20220316,20220318
ORD-2022-11703,2022-03-22,2022-03-24,CUST-0320,PROD-0044,GEO-0004,79.0,1,0.0,41.28,2,0,20220322,20220324
ORD-2022-10939,2022-03-23,2022-03-24,CUST-0170,PROD-0051,GEO-0003,18.0,1,0.0,8.95,1,0,20220323,20220324
ORD-2022-12004,2022-03-27,2022-03-29,CUST-0378,PROD-0048,GEO-0005,56.0,2,0.0,25.01,2,0,20220327,20220329
ORD-2022-14171,2022-03-31,2022-04-02,CUST-0781,PROD-0004,GEO-0006,1044.05,1,0.05,359.92,2,0,20220331,20220402
ORD-2022-13545,2022-04-09,2022-04-10,CUST-0651,PROD-0013,GEO-0007,69.0,1,0.0,42.33,1,0,20220409,20220410
ORD-2022-13447,2022-04-16,2022-04-21,CUST-0636,PROD-0029,GEO-0008,271.15,1,0.15,84.22,5,0,20220416,20220421
ORD-2022-10432,2022-05-01,2022-05-05,CUST-0087,PROD-0036,GEO-0009,196.0,4,0.0,100.87,4,0,20220501,20220505
ORD-2022-13852,2022-05-02,2022-05-04,CUST-0717,PROD-0059,GEO-0010,9.9,1,0.1,2.01,2,0,20220502,20220504
ORD-2022-13658,2022-05-05,2022-05-08,CUST-0678,PROD-0011,GEO-0002,328.95,3,0.15,178.92,3,1,20220505,20220508
ORD-2022-14319,2022-05-11,2022-05-13,CUST-0820,PROD-0032,GEO-0011,319.0,2,0.5,-14.97,2,0,20220511,20220513
ORD-2022-11175,2022-05-14,2022-05-16,CUST-0223,PROD-0009,GEO-0012,494.1,1,0.1,168.39,2,0,20220514,20220516
ORD-2022-11699,2022-05-15,2022-05-17,CUST-0320,PROD-0039,GEO-0004,128.0,4,0.0,59.29,2,0,20220515,20220517
ORD-2022-13928,2022-05-20,2022-05-22,CUST-0735,PROD-0049,GEO-0012,44.0,2,0.0,19.92,2,1,20220520,20220522
ORD-2022-14408,2022-05-25,2022-05-26,CUST-0839,PROD-0007,GEO-0013,949.05,1,0.05,365.48,1,1,20220525,20220526
ORD-2022-13796,2022-06-03,2022-06-06,CUST-0706,PROD-0049,GEO-0014,41.8,2,0.05,15.77,3,0,20220603,20220606
ORD-2022-11867,2022-06-19,2022-06-23,CUST-0351,PROD-0012,GEO-0011,50.15,1,0.15,26.16,4,0,20220619,20220623
ORD-2022-13620,2022-06-23,2022-06-24,CUST-0669,PROD-0046,GEO-0015,170.0,5,0.0,76.76,1,0,20220623,20220624
ORD-2022-13791,2022-06-26,2022-06-28,CUST-0705,PROD-0008,GEO-0016,1899.0,1,0.0,793.8,2,0,20220626,20220628
ORD-2022-13913,2022-06-27,2022-06-29,CUST-0734,PROD-0057,GEO-0017,85.5,2,0.05,42.12,2,1,20220627,20220629
