Order ID,Order Date,Ship Date,Customer ID,Product ID,Region,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-2022-14302,2022-01-31,2022-02-04,CUST-0816,PROD-0053,Central,Texas,San Antonio,Office Supplies,Binders,36.0,3,0.0,12.43
ORD-2022-13696,2022-02-14,2022-02-17,CUST-0686,PROD-0007,East,Massachusetts,Boston,Technology,Laptops,949.05,1,0.05,365.76
ORD-2022-10934,2022-02-23,2022-02-25,CUST-0170,PROD-0058,Central,Illinois,Chicago,Office Supplies,Fasteners,29.0,1,0.0,11.84
ORD-2022-11698,2022-03-16,2022-03-18,CUST-0320,PROD-0054,Central,Ohio,Columbus,Office Supplies,Appliances,1196.0,4,0.0,617.62
ORD-2022-11703,2022-03-22,2022-03-24,CUST-0320,PROD-0044,Central,Ohio,Columbus,Office Supplies,Art,79.0,1,0.0,41.28
ORD-2022-10939,2022-03-23,2022-03-24,CUST-0170,PROD-0051,Central,Illinois,Chicago,Office Supplies,Binders,18.0,1,0.0,8.95
ORD-2022-12004,2022-03-27,2022-03-29,CUST-0378,PROD-0048,West,California,San Diego,Office Supplies,Paper,56.0,2,0.0,25.01
ORD-2022-14171,2022-03-31,2022-04-02,CUST-0781,PROD-0004,East,Pennsylvania,Philadelphia,Technology,Phones,1044.05,1,0.05,359.92
ORD-2022-13545,2022-04-09,2022-04-10,CUST-0651,PROD-0013,West,Washington,Spokane,Technology,Accessories,69.0,1,0.0,42.33
ORD-2022-13447,2022-04-16,2022-04-21,CUST-0636,PROD-0029,West,California,Los Angeles,Furniture,Tables,271.15,1,0.15,84.22
ORD-2022-10432,2022-05-01,2022-05-05,CUST-0087,PROD-0036,South,Florida,Tampa,Furniture,Furnishings,196.0,4,0.0,100.87
ORD-2022-13852,2022-05-02,2022-05-04,CUST-0717,PROD-0059,South,Georgia,Atlanta,Office Supplies,Fasteners,9.9,1,0.1,2.01
ORD-2022-13658,2022-05-05,2022-05-08,CUST-0678,PROD-0011,East,Massachusetts,Boston,Technology,Accessories,328.95,3,0.15,178.92
ORD-2022-14319,2022-05-11,2022-05-13,CUST-0820,PROD-0032,West,California,San Jose,Furniture,Bookcases,319.0,2,0.5,-14.97
ORD-2022-11175,2022-05-14,2022-05-16,CUST-0223,PROD-0009,South,Florida,Miami,Technology,Laptops,494.1,1,0.1,168.39
ORD-2022-11699,2022-05-15,2022-05-17,CUST-0320,PROD-0039,Central,Ohio,Columbus,Office Supplies,Storage,128.0,4,0.0,59.29
ORD-2022-13928,2022-05-20,2022-05-22,CUST-0735,PROD-0049,South,Florida,Miami,Office Supplies,Paper,44.0,2,0.0,19.92
ORD-2022-14408,2022-05-25,2022-05-26,CUST-0839,PROD-0007,South,Virginia,Richmond,Technology,Laptops,949.05,1,0.05,365.48
ORD-2022-13796,2022-06-03,2022-06-06,CUST-0706,PROD-0049,East,New York,New York City,Office Supplies,Paper,41.8,2,0.05,15.77
ORD-2022-11867,2022-06-19,2022-06-23,CUST-0351,PROD-0012,West,California,San Jose,Technology,Accessories,50.15,1,0.15,26.16
ORD-2022-13620,2022-06-23,2022-06-24,CUST-0669,PROD-0046,South,North Carolina,Charlotte,Office Supplies,Paper,170.0,5,0.0,76.76
ORD-2022-13791,2022-06-26,2022-06-28,CUST-0705,PROD-0008,West,Oregon,Portland,Technology,Laptops,1899.0,1,0.0,793.8
ORD-2022-13913,2022-06-27,2022-06-29,CUST-0734,PROD-0057,South,Tennessee,Nashville,Office Supplies,Appliances,85.5,2,0.05,42.12
ORD-2022-10310,2022-06-28,2022-06-30,CUST-0069,PROD-0005,West,California,San Diego,Technology,Phones,3800.0,4,0.0,1382.19
ORD-2022-10700,2022-06-28,2022-06-29,CUST-0136,PROD-0057,East,New Jersey,Newark,Office Supplies,Appliances,38.25,1,0.15,14.59
ORD-2022-11868,2022-07-01,2022-07-07,CUST-0351,PROD-0018,West,California,San Jose,Technology,Copiers & Printers,199.0,1,0.0,84.02
ORD-2022-10239,2022-07-04,2022-07-06,CUST-0055,PROD-0052,East,New York,New York City,Office Supplies,Binders,48.45,3,0.15,13.02
ORD-2022-13842,2022-07-05,2022-07-07,CUST-0714,PROD-0060,Central,Texas,Dallas,Office Supplies,Fasteners,9.8,1,0.3,0.35
ORD-2022-13916,2022-07-06,2022-07-10,CUST-0734,PROD-0006,South,Tennessee,Nashville,Technology,Laptops,3897.0,3,0.0,1629.99
ORD-2022-10311,2022-07-11,2022-07-15,CUST-0069,PROD-0054,West,California,San Diego,Office Supplies,Appliances,299.0,1,0.0,153.06
ORD-2022-13795,2022-07-14,2022-07-21,CUST-0706,PROD-0011,East,New York,New York City,Technology,Accessories,245.1,2,0.05,148.14
ORD-2022-10264,2022-07-15,2022-07-17,CUST-0061,PROD-0056,West,Washington,Seattle,Office Supplies,Appliances,458.0,2,0.0,224.53
ORD-2022-12730,2022-07-20,2022-07-21,CUST-0498,PROD-0020,Central,Texas,Dallas,Furniture,Chairs,628.2,2,0.1,296.52
ORD-2022-12997,2022-07-22,2022-07-25,CUST-0551,PROD-0052,South,Florida,Orlando,Office Supplies,Binders,19.0,1,0.0,6.84
ORD-2022-12194,2022-07-24,2022-07-26,CUST-0406,PROD-0016,East,Massachusetts,Boston,Technology,Copiers & Printers,1529.1,1,0.1,624.61
ORD-2022-12028,2022-08-06,2022-08-09,CUST-0382,PROD-0002,West,Washington,Seattle,Technology,Phones,1798.0,2,0.0,744.07
ORD-2022-11456,2022-08-08,2022-08-13,CUST-0276,PROD-0055,West,Colorado,Denver,Office Supplies,Appliances,194.6,2,0.3,54.33
ORD-2022-13547,2022-08-10,2022-08-12,CUST-0651,PROD-0001,West,Washington,Spokane,Technology,Phones,2277.15,3,0.05,915.54
ORD-2022-11233,2022-08-12,2022-08-17,CUST-0232,PROD-0015,Central,Texas,Houston,Technology,Accessories,89.0,1,0.0,49.13
ORD-2022-12196,2022-08-13,2022-08-15,CUST-0406,PROD-0002,East,Massachusetts,Boston,Technology,Phones,1798.0,2,0.0,746.22
ORD-2022-10314,2022-08-14,2022-08-20,CUST-0069,PROD-0029,West,California,San Diego,Furniture,Tables,223.3,1,0.3,40.08
ORD-2022-13705,2022-08-15,2022-08-19,CUST-0688,PROD-0040,Central,Texas,San Antonio,Office Supplies,Storage,117.3,2,0.15,48.59
ORD-2022-14118,2022-08-15,2022-08-18,CUST-0768,PROD-0036,Central,Michigan,Detroit,Furniture,Furnishings,29.4,1,0.4,3.95
ORD-2022-10738,2022-08-16,2022-08-17,CUST-0142,PROD-0050,West,California,San Francisco,Office Supplies,Binders,42.0,1,0.0,20.19
ORD-2022-13226,2022-08-16,2022-08-17,CUST-0596,PROD-0021,South,North Carolina,Charlotte,Furniture,Chairs,1596.0,4,0.0,818.25
ORD-2022-13767,2022-08-18,2022-08-22,CUST-0700,PROD-0055,West,California,Los Angeles,Office Supplies,Appliances,278.0,2,0.0,138.0
ORD-2022-13355,2022-08-19,2022-08-23,CUST-0620,PROD-0020,West,Washington,Seattle,Furniture,Chairs,314.1,1,0.1,149.13
ORD-2022-11000,2022-08-22,2022-08-25,CUST-0187,PROD-0040,West,Arizona,Phoenix,Office Supplies,Storage,82.8,2,0.4,17.42
ORD-2022-13768,2022-08-25,2022-08-27,CUST-0700,PROD-0041,West,California,Los Angeles,Office Supplies,Storage,78.0,2,0.0,37.28
ORD-2022-13312,2022-08-26,2022-08-31,CUST-0611,PROD-0046,West,Washington,Spokane,Office Supplies,Paper,136.0,4,0.0,56.5
ORD-2022-10933,2022-08-29,2022-08-30,CUST-0170,PROD-0031,Central,Illinois,Chicago,Furniture,Bookcases,178.2,2,0.1,75.01
ORD-2022-11602,2022-08-30,2022-09-02,CUST-0308,PROD-0037,Central,Texas,Dallas,Furniture,Furnishings,598.5,3,0.05,316.96
ORD-2022-13425,2022-09-03,2022-09-06,CUST-0631,PROD-0011,Central,Texas,Houston,Technology,Accessories,116.1,1,0.1,67.79
ORD-2022-14474,2022-09-04,2022-09-07,CUST-0850,PROD-0043,West,Oregon,Portland,Office Supplies,Art,56.05,1,0.05,28.88
ORD-2022-10830,2022-09-06,2022-09-09,CUST-0156,PROD-0008,East,New Jersey,Newark,Technology,Laptops,1804.05,1,0.05,698.26
