Order ID,Return Status,Return Reason
ORD-2022-13658,Returned,Wrong Item Sent
ORD-2022-13928,Returned,Late Delivery
ORD-2022-14408,Returned,Defective Item
ORD-2022-13913,Returned,Defective Item
ORD-2022-10311,Returned,Defective Item
ORD-2022-10314,Returned,Defective Item
ORD-2022-14470,Returned,Customer Changed Mind
ORD-2022-14169,Returned,Damaged in Transit
ORD-2022-11943,Returned,Defective Item
ORD-2022-12617,Returned,Defective Item
ORD-2022-13907,Returned,Wrong Item Sent
ORD-2022-12967,Returned,Defective Item
ORD-2022-10192,Returned,Wrong Item Sent
ORD-2022-13899,Returned,Defective Item
ORD-2023-13701,Returned,Late Delivery
ORD-2023-13481,Returned,Wrong Item Sent
ORD-2023-12968,Returned,Defective Item
ORD-2023-10293,Returned,Wrong Item Sent
ORD-2023-13542,Returned,Damaged in Transit
ORD-2023-10087,Returned,Late Delivery
ORD-2023-12746,Returned,Wrong Item Sent
ORD-2023-14077,Returned,Defective Item
ORD-2023-13926,Returned,Product Did Not Meet Expectations
ORD-2023-12005,Returned,Damaged in Transit
ORD-2023-12910,Returned,Damaged in Transit
ORD-2023-14314,Returned,Defective Item
ORD-2023-14033,Returned,Late Delivery
ORD-2023-12512,Returned,Defective Item
ORD-2023-14186,Returned,Product Did Not Meet Expectations
ORD-2023-10216,Returned,Wrong Item Sent
ORD-2023-13129,Returned,Defective Item
ORD-2023-12645,Returned,Damaged in Transit
ORD-2023-10596,Returned,Defective Item
ORD-2023-10937,Returned,Defective Item
ORD-2023-10277,Returned,Damaged in Transit
ORD-2023-10499,Returned,Defective Item
ORD-2023-10852,Returned,Wrong Item Sent
ORD-2023-13597,Returned,Wrong Item Sent
ORD-2023-14372,Returned,Wrong Item Sent
ORD-2023-10504,Returned,Late Delivery
ORD-2023-13444,Returned,Wrong Item Sent
ORD-2023-11914,Returned,Damaged in Transit
ORD-2023-11526,Returned,Damaged in Transit
ORD-2023-13566,Returned,Damaged in Transit
ORD-2023-10711,Returned,Wrong Item Sent
